# cfgfile = ./initcfg/MYGI/MYGI.1204.meiyo_m4-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M01,2.534314,0.0,0.0,0.0,False,55445.5397,-7.99719,1746.07262,13.31079,174.42,2.12,-0.79,55449.13552,-7.17385,1734.10304,12.20179,173.34,0.02,0.04
1,S01,L01,M15,2.486553,0.0,0.0,0.0,False,55455.539705,-6.83161,1713.44799,12.77551,172.28,0.68,-2.19,55459.087815,-6.74975,1702.85302,12.26645,172.1,-0.48,0.51
2,S01,L01,M05,3.434004,0.0,0.0,0.0,False,55465.53967,-5.5879,1683.08963,13.35151,170.62,1.82,0.19,55470.03518,-4.30683,1670.38582,12.60233,170.8,-0.32,-0.4
3,S01,L01,M12,3.531057,0.0,0.0,0.0,False,55475.53972,-3.02554,1654.35982,13.40354,169.61,1.01,1.1,55480.132335,-2.01584,1641.76089,12.92542,169.66,-0.26,-0.61
4,S01,L01,M03,3.963329,0.0,0.0,0.0,False,55485.53975,-0.41998,1627.40388,12.65172,168.95,1.17,0.04,55490.564585,0.69938,1614.13272,13.11435,167.31,0.55,0.86
5,S01,L01,M13,4.093503,0.0,0.0,0.0,False,55495.539885,2.71784,1601.10044,12.52233,167.48,0.85,-0.83,55500.694945,4.17052,1587.72509,13.13595,167.89,-0.38,1.74
6,S01,L01,M04,3.283239,0.0,0.0,0.0,False,55505.539835,6.7069,1575.41057,12.71011,169.63,0.36,-1.84,55509.88458,7.95501,1564.7964,12.91668,172.31,0.73,-0.14
7,S01,L01,M14,3.405906,0.0,0.0,0.0,False,55515.5399,8.97254,1550.43371,13.678,175.02,0.08,0.23,55520.007365,9.86189,1539.19173,12.30489,176.29,0.86,-2.81
8,S01,L01,M01,2.409264,0.0,0.0,0.0,False,55525.539955,8.72773,1525.46375,13.38779,177.2,-0.89,3.27,55529.010725,9.18826,1516.94979,13.43327,177.0,1.21,-1.47
9,S01,L01,M15,2.375468,0.0,0.0,0.0,False,55535.54008,7.53408,1500.47321,12.83742,177.68,-0.88,2.99,55538.977105,8.18669,1492.93535,13.46732,177.65,2.56,0.36
10,S01,L01,M05,3.247654,0.0,0.0,0.0,False,55545.540085,6.65773,1475.84419,13.07938,177.14,0.94,-0.37,55549.849245,6.44349,1465.85723,12.70017,178.45,0.2,0.14
11,S01,L01,M12,3.339927,0.0,0.0,0.0,False,55555.540125,5.17471,1451.02781,13.42695,176.47,0.33,-1.19,55559.94161,4.6417,1440.46858,12.7742,177.28,0.52,0.74
12,S01,L01,M03,3.743679,0.0,0.0,0.0,False,55565.540085,4.50455,1426.85846,12.63796,175.56,-0.12,-0.58,55570.34527,2.43524,1414.27971,13.3827,175.88,1.12,0.61
13,S01,L01,M13,3.871703,0.0,0.0,0.0,False,55575.540135,2.6057,1401.34778,12.26325,175.21,-1.96,2.07,55580.473395,2.35423,1388.84789,12.89476,174.98,-1.58,-0.21
14,S01,L01,M04,3.114329,0.0,0.0,0.0,False,55585.540235,1.83347,1377.03006,12.34725,174.68,-0.58,0.19,55589.71607,2.48645,1367.24609,12.77224,174.3,0.56,0.38
15,S01,L01,M14,3.230246,0.0,0.0,0.0,False,55595.540235,2.05254,1352.64448,13.39109,173.44,1.19,-0.57,55599.83204,2.83147,1342.12078,12.40798,172.05,0.63,-1.13
16,S01,L01,M01,2.322484,0.0,0.0,0.0,False,55605.540255,2.90777,1327.55725,13.53281,171.78,0.98,0.92,55608.924245,3.02977,1319.24612,12.7809,171.27,1.27,0.01
17,S01,L01,M15,2.297888,0.0,0.0,0.0,False,55615.54032,3.34261,1302.32516,13.14931,171.54,0.4,1.71,55618.899765,3.75236,1293.53781,12.66947,172.49,-1.64,0.53
18,S01,L01,M05,3.088609,0.0,0.0,0.0,False,55625.540415,4.41529,1278.50512,13.19278,172.29,1.58,-0.36,55629.69053,4.22539,1267.91234,13.42056,171.92,0.34,1.07
19,S01,L01,M12,3.167602,0.0,0.0,0.0,False,55635.540465,5.3607,1253.27907,12.93548,173.43,1.54,-0.31,55639.769625,5.74636,1242.58796,13.30975,172.09,-0.46,2.01
20,S01,L01,M03,3.531759,0.0,0.0,0.0,False,55645.540475,6.61281,1226.77408,13.15271,174.86,0.69,-0.87,55650.13374,6.89747,1215.27958,12.14626,175.9,-1.07,-0.66
21,S01,L01,M13,3.653798,0.0,0.0,0.0,False,55655.5405,6.56763,1200.79097,13.8846,176.44,1.57,0.22,55660.255855,6.67307,1188.19479,12.32182,176.25,1.09,-1.77
22,S01,L01,M04,2.960864,0.0,0.0,0.0,False,55665.54054,6.12347,1173.97438,13.35796,176.14,1.11,1.8,55669.56291,6.02178,1162.66566,13.16715,176.02,0.56,-0.2
23,S01,L01,M14,3.066101,0.0,0.0,0.0,False,55675.540595,5.55278,1145.67152,12.46109,176.01,-0.02,1.23,55679.668255,6.3424,1134.46874,13.08385,175.94,-0.24,0.54
24,S01,L01,M01,2.261084,0.0,0.0,0.0,False,55685.54066,5.59337,1117.84092,12.7779,175.77,1.06,-1.48,55688.86325,5.50525,1108.47736,12.74682,176.53,0.83,0.39
25,S01,L01,M15,2.248198,0.0,0.0,0.0,False,55695.540635,4.59963,1089.54317,13.127,175.6,-0.21,0.6,55698.85039,5.29814,1080.79447,13.19427,176.36,2.94,-1.71
26,S01,L01,M05,2.931354,0.0,0.0,0.0,False,55705.540745,4.14381,1061.95297,13.36604,175.77,-0.42,0.49,55709.533605,4.15655,1051.24498,13.28101,175.91,1.77,-1.2
27,S01,L01,M03,3.308749,0.0,0.0,0.0,False,55725.540805,1.38157,1007.08536,12.86069,175.11,-0.7,1.33,55729.91106,2.42539,995.53969,12.84975,174.36,-1.65,0.27
28,S01,L01,M13,3.424168,0.0,0.0,0.0,False,55735.540915,2.2251,979.77567,12.82986,173.61,0.31,-1.23,55740.02664,2.24543,967.86522,12.9027,173.85,-1.14,2.04
29,S01,L01,M04,2.810994,0.0,0.0,0.0,False,55745.540835,2.84534,952.5296,13.54167,173.74,1.54,0.36,55749.413335,3.4426,941.86698,12.94336,173.85,-0.29,-0.25
30,S01,L01,M14,2.907111,0.0,0.0,0.0,False,55755.540915,4.25723,925.00399,13.17578,173.5,1.07,-0.67,55759.509585,3.3651,913.72024,12.77244,173.72,-0.34,0.36
31,S01,L01,M01,2.235214,0.0,0.0,0.0,False,55765.540965,4.58212,897.1177,12.61484,173.14,-1.05,1.08,55768.837685,3.95271,887.89861,13.62172,172.8,0.47,1.88
32,S01,L01,M15,2.234888,0.0,0.0,0.0,False,55775.54099,5.82214,869.99097,12.83833,172.7,-0.26,1.44,55778.837435,5.76752,860.59451,13.80268,172.87,1.27,1.4
33,S01,L01,M05,2.791754,0.0,0.0,0.0,False,55785.541045,7.53208,842.39476,12.98204,173.96,0.62,-0.67,55789.394305,7.17415,831.50195,13.58854,172.9,2.29,0.95
34,S01,L01,M12,2.837907,0.0,0.0,0.0,False,55795.54114,8.47267,814.18745,11.87848,173.85,-0.9,-0.72,55799.440605,7.67531,803.13041,13.17408,173.59,-1.34,3.25
35,S01,L01,M03,3.096504,0.0,0.0,0.0,False,55805.54115,8.49991,786.8697,12.60862,174.59,1.0,-1.38,55809.69916,8.8536,775.25491,12.58886,174.52,-1.06,1.39
36,S01,L01,M13,3.205043,0.0,0.0,0.0,False,55815.54117,9.13169,758.49858,12.43405,174.63,-0.54,-2.23,55819.80777,7.94814,746.77975,12.51656,175.38,-1.01,2.45
37,S01,L01,M04,2.690754,0.0,0.0,0.0,False,55825.54122,8.65888,731.30941,13.25378,175.49,0.18,1.03,55829.29348,8.24994,720.54559,12.67339,175.89,-1.41,0.45
38,S01,L01,M14,2.775341,0.0,0.0,0.0,False,55835.541295,8.69562,703.72505,12.94574,176.22,-0.07,1.31,55839.378195,7.56338,693.15858,13.21707,177.06,0.07,0.77
39,S01,L01,M01,2.248309,0.0,0.0,0.0,False,55845.54129,7.09399,675.9672,12.75197,177.05,-1.09,2.23,55848.851105,7.5429,667.51756,13.36329,177.65,1.11,-0.85
40,S01,L01,M15,2.260133,0.0,0.0,0.0,False,55855.541305,7.2635,648.49936,12.19401,176.95,0.44,-2.11,55858.862995,5.77483,639.48253,13.19292,176.92,-1.3,3.3
41,S01,L01,M05,2.680069,0.0,0.0,0.0,False,55865.54142,6.50945,620.86209,12.64595,175.75,0.65,-1.43,55869.282995,4.85414,610.25421,12.78539,175.62,-1.52,2.68
42,S01,L01,M12,2.709187,0.0,0.0,0.0,False,55875.5414,4.84971,593.1391,13.16065,175.35,1.25,1.82,55879.312145,5.43867,582.75191,12.84579,175.57,0.63,-0.75
43,S01,L01,M03,2.899469,0.0,0.0,0.0,False,55885.54145,5.24636,565.10827,13.14489,175.08,-0.6,0.53,55889.502425,5.13625,553.96697,13.03794,174.66,1.59,-0.38
44,S01,L01,M13,2.999848,0.0,0.0,0.0,False,55895.541485,4.80395,536.61214,12.7712,174.8,-1.46,2.28,55899.60289,5.22803,525.2699,13.28136,175.33,0.49,-0.45
45,S01,L01,M04,2.593904,0.0,0.0,0.0,False,55905.541515,4.18489,507.9708,13.23476,174.54,-0.67,3.45,55909.196925,6.15814,498.21061,12.43848,175.72,0.27,-2.91
46,S01,L01,M14,2.664326,0.0,0.0,0.0,False,55915.54161,4.81269,479.6978,13.38815,174.63,-0.03,1.22,55919.267495,5.99588,469.40265,12.55915,175.33,0.95,-1.76
47,S01,L01,M01,2.302269,0.0,0.0,0.0,False,55925.541675,5.28081,451.33557,13.29391,174.26,-0.01,1.79,55928.90545,6.07344,441.64582,12.84605,175.1,1.13,-1.53
