depth,speed
0.0,1496.022
10.0,1496.002
20.0,1495.067
30.0,1493.654
40.0,1492.688
50.0,1491.75
60.0,1490.805
70.0,1489.977
80.0,1488.718
90.0,1486.365
100.0,1484.665
110.0,1483.216
120.0,1481.725
130.0,1480.603
140.0,1479.454
150.0,1476.843
160.0,1474.384
170.0,1473.618
180.0,1472.444
190.0,1472.189
200.0,1472.884
250.0,1476.971
300.0,1478.563
350.0,1476.512
400.0,1471.918
450.0,1472.022
500.0,1473.043
550.0,1474.848
600.0,1475.059
700.0,1475.608
800.0,1476.185
900.0,1476.77
1200.0,1479.396
1727.8,1486.396
